user,number of commits,number of adoption commits,unique libraries adopted,unique committing repos,unique adoption repos
893,5,0,0,1,0
894,11,0,0,1,0
895,26,0,0,4,0
896,5,2,2,1,1
897,1,0,0,1,0
898,188,0,0,2,0
899,5,0,0,2,0
900,365,2,3,34,2
901,1,1,3,1,1
902,1,0,0,1,0
903,2,0,0,1,0
904,13,0,0,4,0
905,1,1,141,1,1
906,34,4,10,14,4
907,1,0,0,1,0
908,190,0,0,8,0
909,37,0,0,4,0
910,4,1,24,2,1
911,23,0,0,4,0
912,3,0,0,1,0
913,52,0,0,3,0
914,4,0,0,1,0
915,8,1,1,1,1
916,1,0,0,1,0
917,96,0,0,3,0
918,3,0,0,3,0
919,86,0,0,4,0
920,573,6,10,36,5
921,165,0,0,12,0
922,84,0,0,6,0
923,4,1,1,3,1
924,12,0,0,3,0
925,222,1,1,9,1
926,655,0,0,29,0
927,3,0,0,1,0
928,39,1,4,12,1
929,340,0,0,35,0
930,3,0,0,2,0
931,2,0,0,2,0
932,246,2,4,5,2
933,27,0,0,5,0
934,1981,0,0,62,0
935,84,0,0,24,0
936,165,0,0,11,0
937,294,1,5,20,1
938,20,0,0,4,0
939,460,0,0,23,0
940,1,0,0,1,0
941,354,1,1,26,1
942,2,1,3,1,1
943,3,1,1,2,1
944,82,0,0,14,0
945,62,0,0,4,0
946,678,0,0,35,0
947,479,2,2,27,2
948,32,0,0,4,0
949,154,0,0,15,0
950,38,1,1,3,1
951,42,0,0,3,0
952,44,0,0,12,0
953,1206,1,1,77,1
954,219,1,1,9,1
955,84,0,0,10,0
956,8,0,0,3,0
957,320,0,0,19,0
958,10,0,0,2,0
959,18,1,9,5,1
960,991,0,0,32,0
961,141,0,0,27,0
962,72,0,0,9,0
963,456,1,2,38,1
964,244,1,1,40,1
965,444,2,2,30,2
966,417,0,0,9,0
967,126,0,0,11,0
968,41,0,0,8,0
969,149,0,0,8,0
970,3,0,0,3,0
971,1057,2,2,32,2
972,185,0,0,36,0
973,19,0,0,6,0
974,1065,3,8,23,3
975,196,3,18,12,1
976,75,0,0,8,0
977,20,0,0,1,0
978,54,0,0,5,0
979,99,0,0,9,0
980,14,0,0,3,0
981,1,0,0,1,0
982,443,1,439,27,1
983,518,2,3,24,2
