user id,number of times user adopted from,number of incoming adoption edges (lib-source pairs)
12834,0,48
12840,2,1
12843,3,28
12884,0,1
12890,2,0
12931,34305,1
12938,0,8
12940,5,0
12963,56,0
12970,10,186
12971,55,20
12975,0,57
12985,18,8
12986,1,1194
13005,5,0
13006,1,0
13040,1,13
13042,0,1
13043,4,17
13078,1,410
13114,0,1
13120,3,14
13122,6,1
13124,29,167
13129,3,3
13131,1,4
13137,11,0
13138,4,0
13143,3,0
13147,0,5
13150,1,0
13229,0,2
13244,1,0
13253,5,0
13257,36,0
13267,16,0
13286,0,4
13290,0,1
13301,87,8
13331,9,1
13332,0,1
13335,0,1
13361,4,5
13384,1,0
13421,1,0
13429,2,2
13441,0,9
13451,1,7
13507,0,1
13533,80,1
13541,3,2
13558,0,4
13563,2,0
13582,3,1
13627,1,0
13710,64,91
13711,0,66
13718,150894,35093
13722,1634,0
13723,0,3
13728,1,25
13740,1,10
13743,11,13
13756,2,5
13803,54,879
13805,1,0
13811,1,1
13823,0,3
13829,2,5
13844,1,1
13855,65,17
13857,649,2
13868,19,1
13871,354,30
13879,2,0
13888,32,4
13899,0,1
13953,7,2
13954,44,34
13960,5,12
13967,10,0
13988,0,6
14013,0,3
14021,9,2
14028,1,0
14031,66,19
14076,78,236
14082,1,0
14095,16,40
14136,160,0
14189,94,42
14190,0,1
14199,4556,9
14200,0,261
14230,60,35
14244,43,270
14254,0,1
14275,70,202
14295,66,119
14296,62,8
14300,11,42
14302,49,3
14323,10,0
14327,4,254
14348,0,67
14376,20,796
14390,44,287
14401,0,5
14408,120,444
14421,118,0
14426,1,0
14449,0,6
14452,0,24
14458,0,2
14476,39,0
14487,0,4
14499,43,0
14530,0,9
14546,4,197
14558,6,0
14569,0,7
14578,3,23
14581,0,4
14603,76,1
14607,0,7
14644,2,0
14651,1,3
14655,3,0
14677,14,3
14709,0,16
14717,25,0
14814,632,0
14823,0,2
14824,0,1
14829,4,42
14838,1,0
14839,1467,559
14841,0,5
14849,1,0
14850,2,0
14869,18,10
14924,2,18
14925,1,0
14959,0,233
14968,50,0
14973,72,0
14974,10,74
15002,0,1
15045,27,0
15063,0,10
15113,3,0
15118,1,0
15134,526,1
15139,77,1
15149,469,638
15190,1,0
15212,22,4
15266,0,31
15276,102,2
15291,0,13
15320,0,1
15339,0,6
15348,0,1
15353,0,10
15370,115,27
15371,715,1
15375,6,166
15377,11,2
15389,134,84
15392,8,128
15397,1,180
15413,1,0
15417,9,0
15430,7,0
15433,38,2
15444,135,0
15459,35,223
15465,296,326
15481,33,0
15485,0,4
15487,2,222
15489,8,6
15505,34,174
15527,0,93
15598,7,2
15620,56,14
15625,7,18
15626,2,0
15661,10,1
15693,1,0
15709,60,4
15716,2,3
15733,8,0
15756,12,0
15771,0,3
15774,63,0
15775,15,0
15786,28,1
15791,1,49
15821,1,0
15824,6,2
15836,0,6
15837,6,0
15845,19075,53
15851,2,0
15857,19,12
15871,0,45
15891,2,3
15898,6,1
15899,0,29
15902,0,10
15907,74,100
15913,1,4
15922,30,9
15933,0,20
15936,0,1
15978,0,20
15996,19,2
15999,54,92
16000,499,7
16011,334,0
16013,112,3
16024,27,13
16028,2,0
16037,5,291
16043,33,2
16126,0,1
16136,23,285
16139,11,4
16142,1,0
16151,12,0
16153,22,180
16165,2,46
16171,11,16
16183,12,217
16229,2,6
16238,11,0
16242,55,20
16243,3,4
16245,22918,54107
16246,31,9
16249,0,3
16278,3,0
16287,32,1
16288,4,2
16290,0,3
16291,12,14
16304,418,39
16319,16,0
16343,10,0
16376,0,10
16404,6,2
16408,1,3
16411,8,19
16424,1,0
16446,2,0
16452,0,12
16476,1,0
16490,30,73
16494,5,1
16502,2,3
16561,2,0
16567,17,0
16582,2,20
16588,47,8
16604,0,2
16614,12221,33
16620,0,47
16626,272,0
16631,254,1
16633,2,58
16635,9,10
16648,762,15
16663,377,6
16720,1,0
16736,1,1
16739,1,0
16764,7,9
16783,9,0
16803,1,0
16880,0,11
16892,27,57
16909,6,17
16916,88,155
16919,63,8
16925,1008,61
16935,2,0
16937,76,631
16941,133,214
16946,32,1
16950,48,62
16951,25,95
16952,26,6
16957,1458,14
16960,16,0
16963,2,6
16965,3,5
16966,34,112
16969,230,44
16970,7,80
16971,55,70
16987,5,4
16989,202,31
16991,21,2
16993,178,108
16999,5,0
17003,887,0
17006,1,8
17010,6,1
17018,334,58
17034,3,0
17043,39,6
17092,0,12
17109,2,1
17131,115,13
17133,21,1
17144,11,2
17168,8,0
17183,4,15
17187,7,0
17189,226,13
17190,1046,20
17203,0,3
17234,7,195
17246,324,15
17247,23,0
17256,1,0
17298,0,1
17307,8,0
17309,222,4824
17322,2,9
17329,233,712
17333,0,10
17335,405,132
17363,5,0
17374,52,219
17397,5,14
17399,3176,575
17409,1,0
17414,0,31
17424,2,3
17425,3,4
17445,7,0
17447,0,61
17505,1,26
17507,2140,42486
17511,4,93
17513,362,6
17516,6,15
17531,20,7
17551,8,47
17568,1,6
17582,178,6
17587,17,83
17590,0,4
17596,1045,67
17607,0,4
17616,69,16
17648,41,0
17653,1,80
17654,0,1
17655,5,51
17663,2,9
17676,4,0
17680,11,42
17687,33192,46880
17693,9,31
17728,4,32
17729,4,0
17768,110782,31639
17791,18,1
17824,0,1
17833,26,0
17837,233,1951
17850,0,7
17862,7,1
17863,17,0
17872,0,7
17879,11,0
17894,5,116
17930,0,1
17932,0,4
17953,647,116
17955,148,3
17960,450,11
17970,245,40
17974,9,51
17980,6,64
18001,1,0
18004,5,87
18028,2,184
18029,6,153
18033,6,0
18043,5,163
18047,19,104
18049,14,38
18064,1,5
18082,0,229
18083,0,5
18084,3,0
18085,33,1
18087,13,22
18090,77,0
18096,0,29
18103,11,0
18124,6,19
18125,1,0
18130,1,188
18138,1,0
18139,0,2
18158,11,0
18181,0,1
18190,12,6
18191,6,12
18210,0,15
18212,6,2
18251,1,0
18263,234,367
18265,1,0
18293,9,0
18305,0,12
18356,2,2
18357,1,28
18384,8,0
18392,1,15
18395,1,2
18402,33,25
18404,1,58
18405,10,50
18443,0,76
18510,3,0
18515,0,30
18522,2,1
18550,390,1134
18564,0,1
18571,11,112
18575,0,2
18576,110,3
18577,9,0
18591,116,145
18597,0,86
18625,4,85
18626,88,5
18638,7,1
18666,24,175
18670,0,5
18680,21,258
18688,0,1
18690,3453,7
18712,10,0
18729,666,429
18739,176,18
18744,0,3
18751,72,6
18756,134,1057
18766,2,0
18769,2,0
18776,210,0
18793,10,0
18810,1,0
18844,0,56
18852,270,21
18854,24,876
18863,63,81
18867,2825,13
18876,25,0
18895,38,2
18904,0,26
18925,1,34
18927,15,60
18948,3,18
18949,0,1
18960,165,628
18974,2,0
18975,1905,0
18999,2,0
19000,0,1
19007,0,22
19010,2,17
19014,868,1115
19021,14,339
19025,2,0
19035,0,2
19043,2,3
19045,2,0
19056,1,1
19068,5,0
19084,0,21
19086,4,132
19094,15,0
19103,3,325
19108,0,30
19113,0,9
19127,0,34
19131,145,161
19134,9,0
19138,0,10
